GEOID20,parcels,sale.date_mean,sale.price.real_mean,year.built_mean,total.rooms_mean,beds_mean,baths.full_mean,baths.half_mean,plumbing_mean,landval_mean,impval_mean,totval_mean,stories_mean,footprint.m2_mean,home.size.m2_mean,lot.size.m2_mean,outdoor.m2_mean,year.built_sd,total.rooms_sd,beds_sd,baths.full_sd,baths.half_sd,plumbing_sd,landval_sd,impval_sd,totval_sd,stories_sd,footprint.m2_sd,home.size.m2_sd,lot.size.m2_sd,outdoor.m2_sd
320030033151,833,2012-11-29,227586.6740246827,2002.0900360144058,6.17406962785114,3.4489795918367347,2.116446578631453,0.5762304921968787,10.94717887154862,22492.378151260506,56028.83793517407,78617.21008403362,1.702280912364946,127.80140360144057,154.06188043217287,360.5251883012048,232.72378469976425,2.437252773192016,1.0491296209202603,0.5945279646786427,0.3319969478846854,0.4944516238702777,1.3452533497217791,1601.238561285313,11155.455362731964,12070.815072210093,0.45753003561886224,29.200129941405446,33.76771338354699,102.78387355203057,83.5462262419309
320030033152,519,2011-02-25,901245.7490928627,2000.4393063583816,8.00578034682081,4.152215799614644,2.4046242774566475,0.36608863198458574,11.83815028901734,29451.42774566474,79291.99036608863,108743.41040462427,1.7129094412331407,185.3124092485549,230.49796685934487,628.4719082427582,443.1594989942033,0.7783734033213769,1.509930231173179,0.8137037585156388,0.49129271943132236,0.4821988726106342,1.3344301809654704,4785.836077378494,15994.293578377745,19937.191732651936,0.4409613636314528,49.31521543716001,49.68543571229771,218.4755115562322,196.99382139417867
320030033161,672,2012-01-07,379050.9407844439,2003.2738095238096,8.455357142857142,4.403273809523809,2.669642857142857,0.7232142857142857,14.183035714285714,34671.705357142855,100186.16815476191,134982.1919642857,1.7663690476190477,213.75031979166667,279.62374672619046,665.0821669932242,451.33184720155754,1.257833308242773,2.8694029855911483,1.7915652672271796,0.7823125890671753,0.44774290236836545,3.565124705899959,9304.954180464167,36011.51495995242,44164.1228087553,0.4234552719315966,90.26628734250022,126.42749220909543,330.09877542395924,265.3019367408861
320030033162,264,2010-04-04,332893.9957239882,1999.246212121212,NA,NA,NA,NA,14.18560606060606,55800.16287878788,118277.75757575757,174077.89393939395,NA,NA,NA,3001.7277322411674,NA,9.916187981099718,NA,NA,NA,NA,4.074358893341405,23309.126719992208,54015.202659333234,55133.9710256839,NA,NA,NA,2691.9325579700453,NA
320030033163,782,2011-09-07,602825.8458395355,2002.5664961636828,7.245524296675192,3.721227621483376,2.364450127877238,0.45907928388746805,12.352941176470589,29620.831202046036,84737.59974424553,114438.15089514067,1.7097186700767264,185.02472455242966,227.2124915601023,589.0199529169546,403.9952283645249,1.9189873421467507,1.7765218485597627,0.9649607884687188,0.5956862788717658,0.49864160814467745,2.229642069566134,4428.672786522834,26379.205905931936,29817.272098069054,0.45418263614423393,51.74236927973086,70.07796238168689,247.90161561425478,213.80406722599133
320030033171,648,2011-07-26,212509.92975048764,2001.067901234568,6.055555555555555,3.396604938271605,2.1064814814814814,0.5169753086419753,10.396604938271604,22280.68364197531,53493.33641975309,75782.28858024691,1.626543209876543,133.36569166666666,151.03719274691358,377.39467977986004,244.0289881131934,2.271730830676554,1.226951336724214,0.6567595628825732,0.30869115375177575,0.5000977827181973,1.1482615923598216,1307.5785436565252,8808.954675791863,9587.406518996033,0.48409551216648056,28.13723034837782,33.91716107184763,96.544007523817,85.20531958340884
320030033172,319,2011-09-20,231636.80502903604,2000.6050156739811,6.009404388714733,3.41692789968652,2.1442006269592477,0.4482758620689655,10.705329153605016,22766.473354231974,54916.87147335423,77692.69278996866,1.664576802507837,133.0461962382445,157.19874012539185,418.7675587613974,285.7213625231529,1.8935773396571336,1.1201018973664063,0.6480463852431452,0.3518449628191953,0.49809874915761776,1.2937937735296627,1101.5693743709114,9817.85840110041,10368.79175895366,0.47287996890836403,22.013457100164967,34.65004805930881,102.00482592423435,101.94693138723947
320030033181,2210,2011-10-10,320871.02181675175,2001.9882352941177,6.476923076923077,3.355656108597285,2.1610859728506786,0.5212669683257919,11.561085972850679,26108.919909502263,66172.32398190045,92281.21266968326,1.5447963800904978,167.28036398190045,180.7089538914027,515.0682278432267,347.7878638613263,5.127690214336242,1.0988538983689553,0.7070921519090165,0.3762129282002735,0.503271529997176,1.6748145568264807,14294.429825198857,18240.234592169545,27692.459426335572,0.49810194667880525,53.72820674713805,43.97315720047738,767.8270973905582,760.8619477821621
320030033191,1206,2011-08-11,611340.8600510372,2001.42951907131,6.9054726368159205,3.655887230514096,2.4369817578772803,0.4767827529021559,12.112769485903815,27976.756218905473,73068.74046434494,101109.78275290216,1.6666666666666667,169.79516334991706,197.46195422885572,531.96411096598,362.1689476160629,2.122299919177044,1.622769488797918,0.8972957068953012,0.6102245104827565,0.49966787067040747,2.3443519749610555,6529.935004685553,25731.574859337972,31672.96668627066,0.47160008376181334,57.458981940719966,65.60615860302602,187.29032379005153,152.61145681304916
320030033192,492,2010-06-18,160640.46127182068,1998.0182926829268,6.371951219512195,3.225609756097561,2.1890243902439024,0.508130081300813,11.502032520325203,24682.483739837397,52604.08739837398,77286.55487804877,1.6483739837398375,154.63091707317074,169.97471158536584,458.47962886878145,303.84871179561077,0.8548833793974338,1.2659836960218778,0.7077650735479676,0.4121888611365486,0.5004427361126301,1.5430007315604484,2588.4496145505796,9807.421454544035,11775.597378658695,0.4779638994518409,34.525496700766766,36.22532182353026,110.40807376923662,92.30813936405028
