GEOID20,parcels,sale.date_mean,sale.price.real_mean,year.built_mean,stories_mean,landval_mean,impval_mean,totval_mean,building.size.m2_mean,building.height.m_mean,lot.size.m2_mean,outdoor.m2_mean,year.built_sd,stories_sd,landval_sd,impval_sd,totval_sd,building.size.m2_sd,building.height.m_sd,lot.size.m2_sd,outdoor.m2_sd
320030057051,26,2008-09-21,1547154.9287219848,1996.6538461538462,1.2307692307692308,710206.8846153846,1940139.1538461538,2650346,1987.5347576923075,NA,447683.8795020362,446744.5056687029,11.317039569400851,0.5870395085642742,1067689.432410842,2825309.3321509655,3491775.7406105334,5501.685485821025,NA,748088.7366116081,748561.4393412077
320030057111,40,2006-07-09,407422.08910248993,1997.425,1.1,1643488.525,989845.975,2633334.35,963.67957,NA,790320.2946414686,789499.3930814685,11.792843331705626,0.6324555320336759,2254098.4150204244,1695070.6510850277,2886748.075165056,1664.8747285869897,NA,2336800.5939230844,2336966.186647169
320030057132,4,2008-02-01,6510279.24242479,2004,1,0,0,0,601.9687749999999,4.8387,30391.919526252746,29789.950751252745,1.1547005383792515,0,0,0,0,486.4465680737702,1.259030627109603,0,486.44656807377044
320030057133,8,2008-11-12,11263.429068703836,2008,1,571954,1227145.375,1799099.125,20.3451,NA,25874.61087926563,25854.265779265632,1.6903085094570331,0,815261.0456119474,2983118.5027895095,3352070.376479009,37.671805023765074,NA,35610.317567536775,35576.799916487646
320030057134,4,2008-01-01,13454.779224347687,2006.25,1,0,0,0,202.1504,NA,6343.453121157438,6141.302721157438,0.5,0,0,0,0,380.2907087335161,NA,9790.300176466704,9412.000429678543
320030057151,4,NA,NaN,2002.25,1.25,15406.75,1707327.75,1722846.25,1122.162325,NA,62898.32162718773,62181.08717718773,5.852349955359813,0.5,18718.44192901749,1548105.3003958042,1538003.620286241,1509.218745326984,NA,43106.4006978547,43550.465155295904
320030057153,6,NA,NaN,2000.6666666666667,1,1553,123162.5,124790,131.6393,NA,8127.444042383433,7995.804742383433,2.8751811537130436,0,1701.2262636110459,134917.75897746003,136700.59590213935,170.01639127066542,NA,6266.359604668003,6243.8680292283225
320030057154,1,NA,NaN,2002,1,231433,149397,380979,220.7304,3.048,10238.555684218407,10017.825284218407,NA,NA,NA,NA,NA,NA,NA,NA,NA
320030057163,3,2008-07-22,176.46243397338327,2009,1,0,0,0,654.7592,NA,16349.314245624542,15694.555045624544,1.7320508075688772,0,0,0,0,645.1373060361027,NA,420.56162678788667,1034.4192368724455
320030057172,26,2017-10-02,26921074.478107456,2010,1.0384615384615385,220533.57692307694,730015.8461538461,951031.9230769231,808.2442923076923,NA,8781.188153879608,8101.774723110378,3.9496835316262997,0.19611613513818404,300824.2868284638,2372964.5178017593,2590726.9337910074,1575.238471107948,NA,12285.766419930122,12141.739609039114
320030057181,2,2008-01-01,39389.35367127874,2006,1,0,0,0,0,NA,1558.0410614061357,1558.0410614061357,0,0,0,0,0,0,NA,28.615594195142744,28.615594195142744
320030057182,3,2008-07-01,13540.897723369717,2006.6666666666667,1,0,0,0,0,NA,3561.23682090501,3561.23682090501,0.5773502691896257,0,0,0,0,0,NA,3894.4588937873073,3894.4588937873073
320030057191,7,2014-03-09,14514.432347347909,2013.142857142857,1.2857142857142858,488670.4285714286,1429494.5714285714,1918260,1126.1868857142856,NA,33166.90756756336,32514.318246134786,4.634241089562613,0.4879500364742666,615363.0184416504,1941871.8496291884,2145839.511493734,1945.692849320408,NA,33464.455229779516,33614.22581566503
320030057201,82,2014-09-25,6155432.41540524,2007.4634146341464,1.3414634146341464,NA,13522293.024390243,NA,5134.473106097561,NA,118092.01436088796,NaN,13.537506309701772,1.3445776995038299,NA,26338065.543564577,NA,11618.509190088555,NA,194940.82307640152,NA
320030057212,6,2007-11-30,15673189.754444255,2003.5,1.1666666666666667,448613.8333333333,491550.8333333333,940852,2104.5875666666666,NA,8714.238243075311,7415.713009741979,1.6431676725154984,0.408248290463863,319684.3839691996,438043.9229019924,713789.1719072236,3740.4481342322865,NA,5649.663639127743,4188.478444907559
320030057221,31,2008-01-29,6332213.759229005,2003.483870967742,1.1612903225806452,262755.0967741936,431617.5483870968,694452.5161290322,988.1862903225806,NA,6129.03467035009,5298.231468737187,4.717845325583389,0.373878250552983,268228.9517581768,382427.28822107165,596258.0416670773,1144.5035107738934,NA,7461.432568688973,7227.83349504753
320030057223,14,2007-04-01,20021483.94884903,2001.642857142857,1.0714285714285714,177037.5,3864233.0714285714,4041683.0714285714,962.7293357142856,4.082142857142857,358404.38262727804,357653.41884156375,2.134231724753677,0.2672612419124244,108214.32669102696,3762504.5958373863,3776287.149197404,1611.3450611535686,1.8570864632181594,318462.717252514,318801.42128885136
320030058031,3,2017-07-01,38676844.64273017,1997.3333333333333,1.3333333333333333,3333026.3333333335,6860075.666666667,10198192.666666666,11640.772566666667,4.2164,47928.31109070063,41786.10372403396,2.309401076758503,0.5773502691896257,2798948.4943600395,5488892.10319654,8292249.244212111,18495.93144587279,1.6295639171262966,40140.30842459705,36932.524097771915
320030058032,9,2013-03-06,5170560.904168459,2015.111111111111,1,3587973.6666666665,8525433.444444444,12113407.111111112,2340.956133333333,5.317066666666666,65644.5679131055,63303.61177977216,4.196559437338057,0,1205239,3095887.6666666665,4301126.666666666,5378.650628057617,1.4386359094642396,22932.20747070551,22815.742186191757
